District,Attorney Name,Law Firm,Website,Phone Number,City
Hays CISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Greater Dallas-Fort Worth area
Hays CISD,Kevin and Liz Shields,Shields Law,,,Texas
La Joya ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
La Joya ISD,Roy Atwood,Atwood Gameros LLP,,,North Texas
La Joya ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
La Joya ISD,Kevin and Liz Shields,Shields Law,,,
La Joya ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Eagle Mountain-Saginaw ISD,Myrna B. Silver,Attorney at Law,,,Dallas
Eagle Mountain-Saginaw ISD,Fritz Hager,Hager Law,https://hagerlawpc.com/,,
Eagle Mountain-Saginaw ISD,Justin Chapa,McDowell Hetherington LLP,,,Arlington
Goose Creek CISD,Kevin and Liz Shields,Shields Law,https://shieldslawfirm.com/,,
Goose Creek CISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Dallas-Fort Worth area
Goose Creek CISD,Goz,Odediran Law Firm,,,
McKinney ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,McKinney
McKinney ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,McKinney
Tomball ISD,Sharon Ramage,Ramage Law Group,https://www.ramagelawgroup.com/,972-562-9890,Greater Dallas-Fort Worth Area
Tomball ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,Texas (statewide)
Tomball ISD,William James Hawkins Jr.,,,,Tomball
Birdville ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://www.cuddylawfirm.com/,512-649-3191,Austin
Birdville ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Dallas-Fort Worth
Birdville ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Birdville ISD,Attorney Swanson,"Swanson Law, PLLC",,,Katy
Allen ISD,Jordan McKnight,Unknown,Unknown,Unknown,Unknown
Allen ISD,Jackie Dodd,"Dodd Law Offices, PLLC",Unknown,Unknown,Allen
Hurst-Euless-Bedford ISD,Sharon Ramage,Ramage Law Firm,https://www.ramagelawfirm.com/,972-562-9890,Dallas-Fort Worth Area
Hurst-Euless-Bedford ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Hurst-Euless-Bedford ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslaw.net/,,
Hurst-Euless-Bedford ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Hurst-Euless-Bedford ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Laredo ISD,Juan J. Cruz,J Cruz Law,unavailable,unavailable,unavailable
Laredo ISD,Mario Perez,J Cruz Law,unavailable,unavailable,unavailable
Laredo ISD,Michelle Bartley,J Cruz Law,unavailable,unavailable,San Antonio
Laredo ISD,Sharon Ramage,unavailable,unavailable,unavailable,unavailable
Laredo ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,unavailable
McAllen ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,McAllen
McAllen ISD,Sharon Ramage,,,,McAllen
McAllen ISD,Carlos Enrique Carlos Hernandez Jr.,,,,McAllen
Wylie ISD,Jordan McKnight,Unknown,Unknown,Unknown,Unknown
New Caney ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
New Caney ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
New Caney ISD,Kevin and Liz Shields,Shields Law,,,
Rockwall ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Rockwall
Rockwall ISD,Sharon Ramage,Ramage Law Firm,unavailable,972-562-9890,Rockwall
Rockwall ISD,Marianne Howland,unavailable,unavailable,unavailable,Rockwall
Rockwall ISD,Kevin and Liz Shields,Shields Law,unavailable,unavailable,unavailable
Harlingen CISD,Francisco Javier Prado Jr.,Not specified,Not specified,Not specified,Harlingen
Harlingen CISD,Carlos Enrique Hernandez Jr.,Not specified,Not specified,Not specified,Harlingen
Harlingen CISD,Juan Palacios Jr.,Not specified,Not specified,Not specified,Harlingen
Harlingen CISD,Gustavo L. Acevedo Jr.,Not specified,Not specified,Not specified,Harlingen
Harlingen CISD,Sharon Ramage,Ramage Law Firm,Not specified,972-562-9890,Greater Dallas-Fort Worth area
Harlingen CISD,Kevin and Liz Shields,Shields Law,Not specified,Not specified,Texas
Crowley ISD,Dorene Philpot,Philpot Law Office,,,Galveston
Crowley ISD,Melissa K. Waugh,,,,
Forney ISD,Lawrence S. Fischman,"Glast, Phillips & Murray",,,Dallas
Forney ISD,Don Bradley Kizzia,Strasburger & Price,,,Dallas
Forney ISD,Christine D. Roseveare,Strasburger & Price,,,Dallas
Forney ISD,Dorene J. Philpot,"Philpot Law Office, P.C.",,,
Weslaco ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Weslaco ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Weslaco ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Weslaco ISD,Kevin and Liz Shields,Shields Law,,,
Bryan ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,McKinney
Bryan ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,"Houston, Katy, San Antonio"
Magnolia ISD,Keith Altman,K Altman Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHuJHWiyccwl6FG7wYhbI-Y-iBHxQwC4YT1CXC__rqZNOa7UgNN73k6R1eWhe5tSt08Zw4d1rPzQLa4BudFmCtVtytZXQP3vYC70_osSmA0XaZWR5Y76g==,,
Magnolia ISD,Andrea,Shields Law Firm,,,
Magnolia ISD,Alicia Tucker,Special Education Advocate for Special Needs,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQELnephm4EKuxRk0vG-MIFfnv9t4tHC6JQSw_16Z6sNlJgs3v7gFq2xYTePFK96sWaXrdxpFSgxqSegc4sWOIv-CIpK2UHup7kc6No8izkLBdUUu232QvMzgOuNwA==,,Magnolia
Belton ISD,Ruby Bolton,Bolton Law,www.boltonlaw.com,,"The Woodlands, Katy, and Tomball"
Belton ISD,Jessica Horace,"Law Office of Bryan Fagan, PLLC",,,
Abilene ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Not found in search results
Abilene ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",Not found in search results,Not found in search results,Not found in search results
Abilene ISD,"Various (Naman, Howell, Smith & Lee, PLLC)","Naman, Howell, Smith & Lee, PLLC",Not found in search results,Not found in search results,Not found in search results
College Station ISD,Wayne T. Rife,The Rife Law Firm,unavailable,unavailable,College Station
College Station ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,unavailable
College Station ISD,Kevin and Liz Shields,Shields Law,unavailable,unavailable,unavailable
Mission CISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Mission CISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Mission CISD,Goz Odediran,Odediran Law Firm,,,Texas
Mission CISD,,Atwood Gameros LLP,,,Texas
Mission CISD,,Shields Law,,,Texas
Donna ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Donna ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,
Donna ISD,Kevin and Liz Shields,Shields Law,,,
Donna ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Coppell ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Coppell ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Coppell ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Coppell ISD,Kevin and Liz Shields,Shields Law,,,
Coppell ISD,Roy Atwood,Atwood Gameros LLP,,,
Grapevine-Colleyville ISD,Roy Atwood,Atwood Gameros LLP,https://atwoodgameros.com/,,
Grapevine-Colleyville ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Grapevine-Colleyville ISD,Kevin and Liz Shields,Shields Law,,,
Grapevine-Colleyville ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
San Angelo ISD,Sharon Ramage,Unknown,Unknown,Unknown,San Angelo
San Angelo ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",Unknown,Unknown,Unknown
San Angelo ISD,Kevin and Liz Shields,Shields Law,Unknown,Unknown,"Houston, Katy, San Antonio"
San Angelo ISD,Goz Odediran,Odediran Law Firm,Unknown,Unknown,Unknown
Bastrop ISD,Kathryn Figeredo Fowler,Unknown,Unknown,Unknown,Georgetown
Bastrop ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",Unknown,512-649-3191,Austin
Bastrop ISD,Sharon Ramage,The Ramage Law Group,texasspecialeducationattorney.com,972-562-9890,Unknown
Bastrop ISD,Chris M. Dillon,Private Practice,Unknown,512-303-2889,Bastrop
Bastrop ISD,Roy Atwood,Atwood Gameros LLP,Unknown,Unknown,Unknown
Wichita Falls ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,(972) 562-9890,Texas (statewide)
Wichita Falls ISD,Kevin and Liz Shields,Shields Law,,,Texas (statewide)
Burleson ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Burleson ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Burleson ISD,Kevin and Liz Shields,Shields Law,,,
Burleson ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Texas
Lake Travis ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Lake Travis ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Lake Travis ISD,Kevin and Liz Shields,Shields Law,,,
Lake Travis ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Lake Travis ISD,Trevor Hall,"Powell Law Group, LLP",https://www.plg-law.com/,512-494-1177,Austin
East Central ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
East Central ISD,Kevin and Liz Shields,Shields Law,,,
East Central ISD,Sharon Ramage,Ramage Law Firm,,972-562-9890,Dallas-Fort Worth area
East Central ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
East Central ISD,Roy Atwood,Atwood Gameros LLP,,,
Del Valle ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Del Valle ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Del Valle ISD,Kevin and Liz Shields,Shields Law,,,
Del Valle ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Clint ISD,Jennifer Swanson,"Swanson Law, PLLC",https://www.swansonlegal.com/,,Katy
Clint ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://www.cuddylawfirm.com/,512-649-3191,Austin
Clint ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Dallas-Fort Worth Area
Clint ISD,,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Sherman ISD,Sharon Ramage,The Ramage Law Group,http://www.texasspecialeducationattorney.com,(972) 562-9890,
Sherman ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,
Sherman ISD,Kevin and Liz Shields,Shields Law,,,
Georgetown ISD,Kevin Shields,Shields Law Firm,,,
Georgetown ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Montgomery ISD,Sharon Ramage,The Ramage Law Group,http://www.texasspecialeducationattorney.com,(972) 562-9890,Greater Dallas-Fort Worth area
Montgomery ISD,Taylor M. Montgomery,"Law Office of Taylor M. Montgomery, PLLC",,,
Montgomery ISD,,Tritico Law,,,Montgomery
Royse City ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawfirm.com/,,
Royse City ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Royse City ISD,Goz Odediran,Odediran Law Firm,,,
Royse City ISD,Roy Atwood,Atwood Gameros LLP,,,North Texas
Rio Grande City Grulla ISD,Jennifer Swanson,"Swanson Law, PLLC",https://www.swansonlegal.com/,,Katy
Rio Grande City Grulla ISD,Kevin and Liz Shields,Shields Law,,,
Rio Grande City Grulla ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Rio Grande City Grulla ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Waller ISD,Greg Fell,The Fell Law Firm,unavailable,469-765-3304,Dallas-Fort Worth
Waller ISD,Sharon Ramage,"Sharon Ramage, Attorney at Law",unavailable,972-562-9890,Greater Dallas-Fort Worth
Waller ISD,Goz Odediran,Odediran Law Firm,unavailable,unavailable,unavailable
Waller ISD,Kevin and Liz Shields,Shields Law Firm,unavailable,unavailable,unavailable
Little Elm ISD,Jordan McKnight,Law Office of Jordan McKnight,,,
Little Elm ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Little Elm ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Little Elm ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Little Elm ISD,Kevin and Liz Shields,Shields Law,,,
Midway ISD,Christie Ryan,Ryan Law PLLC,,,Waco
Midway ISD,Kevin and Liz Shields,Shields Law,,,
Midway ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Temple ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,Temple
Temple ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,
Temple ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,
Temple ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
San Marcos CISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
San Marcos CISD,Kevin Shields,Shields Law,https://www.shieldslaw.net/,,Texas (statewide)
Longview ISD,Sharon Ramage,Ramage Law Firm,,972-562-9890,Greater Dallas-Fort Worth area
Longview ISD,Kevin and Liz Shields,Shields Law,,,
Longview ISD,Goz Odediran,Odediran Law Firm,,,
Eanes ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Not found
Eanes ISD,Roy Atwood,Atwood Gameros LLP,Not found,Not found,Not found
Eanes ISD,Goz Odediran,Odediran Law Firm,Not found,Not found,Not found
Eanes ISD,Kevin and Liz Shields,Shields Law,Not found,Not found,Not found
Seguin ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Seguin ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,
Seguin ISD,Attorney Swanson,"Swanson Law, PLLC",,,Katy
Seguin ISD,Kevin and Liz Shields,Shields Law,,,
Seguin ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Texarkana ISD,Sharon Ramage,,,,Texarkana
Texarkana ISD,,"The Law Office of Keith Altman, PLLC",,,Texarkana
Texarkana ISD,,Boyadzhyan Law Firm,,,Texarkana
Copperas Cove ISD,Sharon Ramage,Ramage Law Firm,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGh1fbD8SSbetl50Qv0SYRhjw5t34_PyCr1eB85d4lMFPq73hFpZXcv-6UswlZPSHf-82XhpT2mrjjf-8yvot0k8t9hdtNMiz1o1u_lJp2gYF4zJ3TO0ZptMYvToTJbEkJLLawQyw==,972-562-9890,Greater Dallas-Fort Worth area
Copperas Cove ISD,Kevin and Liz Shields,Shields Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHIf_muH3n7BqqI_CYV37w4R3BpETp2CfBk5Ykp3PbOQa3nw0BiXgF8DB1TfmQKoh1pTECMm4Mz_LChAU5C7dTBfhjA2KZBEaS96BcOarc-6On7mQ==,,
Copperas Cove ISD,Jennifer Swanson,"Swanson Law, PLLC",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFW0nt2a_PnZQSgAJZ3qNxBF-ETzTrN_IM_a0_6f83FiLzdBDM62ZdkjWJwVZgYLsZfZrHmRqkz_gAah2K_hVSm89i2QSRZFAh4tgLX5Vox-IwV5Uuqeexy8j7NHu9kbhQPF1eaCY_4WFieze5EbG0EvyvR0rI=,,Katy
Copperas Cove ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH9WYYBAUvRiQl6c8wVe1rd28r0GpBAO6HKr5P5edX2buqKaBtVQqcb0vOjNHDnxpUV6uo2VWlQXbWhWn3pNRKnyIoas0xFNYvhp7PPa2nz9A_j9Vfs5gl1Whm6nesSTxWc1Zcxehd94cErxO7fNqLlM1Tjx7RXEQ==,512-649-3191,Austin
Copperas Cove ISD,Roy Atwood,Atwood Gameros LLP,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGdDGpmHy2hLyugNUvk_cTp-wJHSxDs1nJ-oVQ4Duc3UJ6oK4vHIVdPxjkEj99AKcrlYP0adYxBDSnrwagvtu2xcFIzsNJVbh-lcq5zFdWcPs4mU4FoNWvFIdcu1GElnpvyleFm3_gF0Xr9rGB9xA==,,
Crosby ISD,Jennifer Swanson,"Swanson Law, PLLC",https://www.swansonlegal.com/,,Katy
Crosby ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://www.cuddylawfirm.com/,512-649-3191,Austin
Crosby ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Dallas-Fort Worth Area
Crosby ISD,Kevin and Liz Shields,Shields Law,,,
Crosby ISD,Roy Atwood,Atwood Gameros LLP,,,
Princeton ISD,Roy Atwood,Atwood Gameros LLP,https://www.atwoodgameros.com/,,
Princeton ISD,Kevin and Liz Shields,Shields Law,,,
Princeton ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Princeton ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Princeton ISD,,"Cirkiel Law Group, P.C.",https://cirkielaw.com,(512) 244-6658,Austin
Melissa ISD,Kevin and Liz Shields,Shields Law,unavailable,unavailable,unavailable
Melissa ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,McKinney
Melissa ISD,Roy Atwood,Atwood Gameros LLP,unavailable,unavailable,unavailable
Friendswood ISD,Michael P. O'Dell,Unknown,Unknown,Unknown,Unknown
Friendswood ISD,Amy Tucker,"Rogers, Morris & Grover",Unknown,Unknown,Unknown
Channelview ISD,Sharon Ramage,The Ramage Law Group,http://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Channelview ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawfirm.com/,,Texas
Channelview ISD,Goz Odediran,Odediran Law Firm,,,Texas
Victoria ISD,Roy Atwood,Atwood Gameros LLP,,,
Victoria ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,
Victoria ISD,Goz Odediran,Odediran Law Firm,,,Austin
Waco ISD,Angela Tekell,"The Law Offices of Tekell & Tekell, L.L.P.",unavailable,unavailable,Waco
Beaumont ISD,Sharon Ramage,The Ramage Law Group,http://www.texasspecialeducationattorney.com,(972) 562-9890,Texas (statewide)
Beaumont ISD,Kevin and Liz Shields,Shields Law,,,"Houston, Katy, San Antonio"
Beaumont ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,Beaumont
Beaumont ISD,Goz Odediran,Odediran Law Firm,,,Texas (statewide)
Tyler ISD,Devin Fletcher,Cuddy Law Firm,,,
Tyler ISD,Meera Krishnan,Cuddy Law Firm,,,
Tyler ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,Tyler
Tyler ISD,Kevin Shields,Shields Law,https://www.shieldslawtexas.com/,,"Houston, Katy, San Antonio"
Tyler ISD,Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,"Houston, Katy, San Antonio"
Santa Fe ISD,Sharon Ramage,Ramage Law Group,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHdQrA3ekFHF2_kXsEFjt7LxOabvcw2PVdC4opuXx4QNEB46_SW5YA3Mk0jUs_jLbpiStf6qRRS1pg0a3X54VeL_QP_g4p1q56cbe_mDyNjafeRUvCtZtsM3NieJzisElGXd34l,972-562-9890,Greater Dallas-Fort Worth area
Santa Fe ISD,Kevin and Liz Shields,Shields Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHv20vBtgdd6653pCiJGla1UfG1cpY9QZeC9YCfCncppuStbo_3ai66dtkJ0yk8gwcl5rxj_HfehzB8y-BNo6_s8Nh7lwFCr0bMdvnmwlknIr4T,Not found,"Statewide, Texas"
Santa Fe ISD,Greg Fell,The Fell Law Firm,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGe0ZpBoZasNLcVgD4T18YtjvreQ6n9r1bUMHf8QdxvESSlnkhV3IJK30Bn_Zr018CNhPVYKUGxSv_y5epAXv_V7t4lTO9IYqVvVfOPzhSOv1_TJJXJUe9ILb__,469-765-3304,Dallas-Fort Worth
Santa Fe ISD,Jennifer Swanson,"Swanson Law, PLLC",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEUPoMCAFb4rIf6fSoXyMeUMxH2-NoblBVKk36GzrwUxNLhSLql35gZ4zaP9EToBQYeDmrIMCFmQ7db-Z7xilmzVCAy5Hi7koXeAmDOyfHhs13HxvGCeGoMPRSBE0SuTThzpdK_UY3HI6HYnhuk6IqKPHi9wA==,Not found,"Katy, Texas"
Grand Prairie ISD,Mary Nix,Unknown,Unknown,Unknown,Unknown
